batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440002,AUA22,16.5807,48.1137,-1.0,21.61
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440005,EJU14TC,6.0924,46.5482,11574.78,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440019,EJU636L,0.4423,44.6705,7604.76,230.92
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,44001a,AUA1512,16.5675,48.1206,-1.0,1.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,44001c,AUA978,16.6717,48.2057,2872.74,149.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,44001f,EJU92AU,-5.0662,39.1003,10949.94,223.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440030,EJU34MX,-2.4978,42.5898,11277.6,202.27
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440031,EJU12ZV,11.8411,42.9256,11285.22,245.13
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440036,EJU89MF,-16.0242,33.3754,6949.44,219.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440037,EJU38YE,4.284,47.6955,9189.72,193.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440039,AUA80,23.7938,41.1253,11590.02,217.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440047,EJU67AY,5.585,49.6216,11887.2,226.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,44004b,OEAHB,14.3145,48.1369,601.98,36.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,44004f,AUA966,16.7671,50.0015,10126.98,210.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440050,AUA212,9.1535,49.752,4213.86,203.61
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440052,AUA775,22.4477,43.2614,7170.42,198.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440057,EJU763N,3.2903,48.2504,4206.24,157.84
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440058,BCS7277,31.0209,35.4095,10972.8,174.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,440062,EJU19NY,-6.2583,41.0163,10980.42,241.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,44006e,AUA1Y,8.4497,50.0257,419.1,68.22
