batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c000eb,WJA2250,-107.701,35.9462,11269.98,294.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c0013a,SYB107,-63.6097,44.737,2392.68,150.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c001da,ASP827,-122.0514,49.519,6332.22,189.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c001e5,ASP821,-78.2363,43.838,9349.74,224.81
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c001fe,CFATP,-80.3497,43.4672,548.64,57.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c0025a,WJA2924,-76.0318,37.3561,10972.8,204.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c00306,CFBDT,-78.0116,43.7952,5646.42,150.82
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c004c0,CFBUT,-82.2438,42.5044,1089.66,48.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c004e9,WJA705,-116.6781,49.9094,9753.6,191.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c004f3,WJA222,-97.2331,49.9335,60.96,63.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c00586,CJT952,-99.2219,19.9001,3832.86,153.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c005c5,ACA165,-81.4477,45.4147,9380.22,233.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c0061a,HRT881,7.5594,47.6193,5905.5,207.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c00668,CFCLB,-73.9987,47.1054,6400.8,127.31
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,c00696,GLR2750,-119.3873,50.0235,762.0,79.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c00821,ACA940,-76.8149,38.6179,10058.4,232.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c008c8,CFDIL,-80.3421,38.8574,13114.02,241.82
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,c00926,WJA1112,-79.9077,26.4153,2545.08,130.24
