batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c15,SDR39QX,-5.4178,42.0232,10965.18,231.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c16,CFG2PD,-8.1578,36.4123,10370.82,249.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c38,CTN82R,0.0492,51.6415,2743.2,120.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c43,CTN380,12.2345,41.9102,525.78,73.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c44,CTN369,16.5383,45.8505,1943.1,124.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c49,CTN4Z,16.2882,45.9196,1424.94,124.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501d18,CTN27D,15.7735,44.8341,11574.78,219.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501e45,JSY3E,13.13,47.6451,3398.52,146.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c15,SDR39QX,-5.4178,42.0232,10965.18,231.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c16,CFG2PD,-8.1578,36.4123,10370.82,249.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c38,CTN82R,0.0492,51.6415,2743.2,120.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c43,CTN380,12.2345,41.9102,525.78,73.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c44,CTN369,16.5383,45.8505,1943.1,124.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c49,CTN4Z,16.2882,45.9196,1424.94,124.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501d18,CTN27D,15.7735,44.8341,11574.78,219.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501e45,JSY3E,13.13,47.6451,3398.52,146.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c15,SDR39QX,-5.4178,42.0232,10965.18,231.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c16,CFG2PD,-8.1578,36.4123,10370.82,249.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c38,CTN82R,0.0492,51.6415,2743.2,120.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c43,CTN380,12.2345,41.9102,525.78,73.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c44,CTN369,16.5383,45.8505,1943.1,124.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c49,CTN4Z,16.2882,45.9196,1424.94,124.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501d18,CTN27D,15.7735,44.8341,11574.78,219.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501e45,JSY3E,13.13,47.6451,3398.52,146.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c15,SDR39QX,-5.4178,42.0232,10965.18,231.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c16,CFG2PD,-8.1578,36.4123,10370.82,249.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c38,CTN82R,0.0492,51.6415,2743.2,120.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c43,CTN380,12.2345,41.9102,525.78,73.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c44,CTN369,16.5383,45.8505,1943.1,124.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c49,CTN4Z,16.2882,45.9196,1424.94,124.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501d18,CTN27D,15.7735,44.8341,11574.78,219.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501e45,JSY3E,13.13,47.6451,3398.52,146.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c15,SDR39QX,-5.4178,42.0232,10965.18,231.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c16,CFG2PD,-8.1578,36.4123,10370.82,249.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c38,CTN82R,0.0492,51.6415,2743.2,120.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c43,CTN380,12.2345,41.9102,525.78,73.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c44,CTN369,16.5383,45.8505,1943.1,124.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c49,CTN4Z,16.2882,45.9196,1424.94,124.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501d18,CTN27D,15.7735,44.8341,11574.78,219.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501e45,JSY3E,13.13,47.6451,3398.52,146.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c15,SDR39QX,-5.4178,42.0232,10965.18,231.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,501c16,CFG2PD,-8.1578,36.4123,10370.82,249.18
