batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,498421,CEF520,5.6259,49.4833,12466.32,243.47
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,49c323,OKBUS75,15.3192,49.6428,998.22,45.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,49c47b,OKEUG92,5.2207,50.7979,411.48,30.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,49d086,DFC2EA,11.3998,46.9215,9753.6,213.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,49d1cd,SEJ878,77.0953,28.5648,-1.0,6.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,49d26c,SEJ198,85.0251,24.7262,10363.2,190.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,49d287,SEJ016,56.286,25.3168,6454.14,236.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,49d2ee,TVS52A,14.2333,50.1041,518.16,90.52
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,49d307,TVS4CE,11.6535,48.012,10530.84,230.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,49d3ac,BOH712,17.363,42.5763,9715.5,223.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,49d3fa,KNE299,34.6455,35.2348,10363.2,190.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,49d41e,TVP7604,5.5138,46.2183,10668.0,230.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,49d421,TVS4135,54.4346,24.4734,10363.2,205.78
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,49d423,TVP7647,51.7814,26.4297,10363.2,197.61
