batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c00af,KAY51,2.5473,48.9705,632.46,62.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c0936,SDR38DX,12.7225,52.0826,2865.12,147.7
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c0ac7,CFG8LT,-9.8006,36.2566,10980.42,241.75
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c0c99,TUI845P,16.4958,49.9955,7620.0,209.68
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c0c9e,TUI4BN,-5.1887,42.6487,10980.42,242.04
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c0ca7,TUI30A,5.3381,49.8595,10972.8,245.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c135a,VJH715,11.5636,46.3445,10058.4,234.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c15be,OCN135K,24.3877,37.2512,11582.4,210.82
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c15c2,OCN76,-24.821,62.3494,11277.6,238.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c4438,DAAAX,5.0795,45.4022,10279.38,236.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c4581,BOX516,77.6953,29.9256,10668.0,269.41
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c4585,BOX592,78.3512,27.7696,12435.84,290.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c4587,BOX466,8.2742,50.4486,5372.1,191.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c4588,BOX533,13.1665,51.1356,4914.9,204.41
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c458a,BOX456,-2.6362,55.2156,9144.0,259.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c458b,BOX534,100.7625,13.697,30.48,80.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c458f,BOX531,21.2149,44.1931,10972.8,248.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c4591,BOX513,6.9046,47.5692,10363.2,249.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,3c4593,BOX523,32.8883,31.6754,10363.2,218.4
