batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471a7e,FRF141,19.1968,45.9509,6713.22,141.27
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,471d5a,WZZ66W,21.2337,48.6414,388.62,67.52
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471d5c,WZZ7LX,19.2649,47.438,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471d60,WZZ49SW,17.3214,58.3672,10370.82,212.99
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471d62,WZZ6VA,12.383,47.8448,10363.2,219.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471d64,WZZ54,27.8289,43.3418,2385.06,152.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471da8,WMT934,17.5027,42.6909,10546.08,238.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471db3,WMT138,22.2102,46.1166,10370.82,230.81
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471db4,WZZ3179,-4.234,37.0609,10058.4,223.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471db6,WZZ5LX,30.9854,35.8639,10668.0,258.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471dbc,WZZ5TN,21.3251,43.3485,10668.0,238.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471dbd,WZZ576,14.8636,46.5097,10363.2,225.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471dbf,WZZ9600,6.864,51.5817,5532.12,159.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471dc1,WZZ1LW,17.9846,50.4849,7208.52,191.34
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471efa,WZZ6472,19.7687,50.0742,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471efb,WMT1KH,18.3063,42.4143,7452.36,196.81
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471efd,WMT5KE,10.2976,53.4563,4175.76,163.34
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,471eff,WZZ959,-0.17,51.1555,-1.0,0.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471f02,WMT7373,5.4653,49.5912,11277.6,238.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471f03,WMT3B,18.2945,43.9312,10675.62,242.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471f04,WMT789,3.08,41.9669,10668.0,198.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471f05,WZZ9GN,20.9564,44.4559,10980.42,228.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471f31,WZZ88NJ,6.0054,46.2047,10370.82,231.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471f32,WZZ3051,11.3065,60.2457,3246.12,148.78
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471f35,WZZ6TP,8.034,50.6529,10866.12,232.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471f37,WZZ553,5.9631,50.2459,8511.54,209.08
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471f38,WZZ3XE,-12.1466,38.3823,10652.76,200.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471f4c,WMT7PJ,2.3744,41.1121,4008.12,186.75
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471f54,WZZ482,16.7435,44.1915,10972.8,219.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,471f55,WMT6063,10.6998,55.1325,9014.46,199.81
