batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca1b3,ABR738,-69.7897,44.2489,9250.68,227.72
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca216,EIN5LW,-5.9122,53.0737,3573.78,199.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca225,RYR23ZG,-0.4754,39.4896,-1.0,1.54
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca226,RYR13TT,-1.1276,41.1104,11582.4,256.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca243,RYR78VK,16.7744,52.4309,281.94,64.52
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca244,RYR2HA,-7.7925,37.685,3863.34,202.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca246,RYR84BL,11.615,43.5892,11460.48,224.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca24c,RYR51WG,6.6798,47.499,6248.4,199.13
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca24e,RYR4772,15.7256,57.5184,11277.6,229.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca24f,RYR9838,-3.0194,47.95,10972.8,232.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca256,RYR8YJ,19.4926,50.7113,7071.36,208.05
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca259,RYR8NN,0.6308,43.508,6057.9,192.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca25a,RYR1648,16.3884,45.4559,7528.56,227.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca263,RYR782G,0.5948,41.1246,11277.6,205.43
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca264,RYR15JG,-6.6026,53.3556,1836.42,140.78
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca27b,RYR9RY,-4.5255,38.2621,11879.58,216.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca27c,RYR63FM,14.4609,40.9108,10972.8,221.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca27f,EIN686,1.0475,49.6793,11277.6,243.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca294,EIN76K,-9.0,45.103,9753.6,243.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca2ab,RYR79SY,8.7223,45.612,-1.0,9.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca2bf,RYR61FZ,5.6134,42.5668,10972.8,242.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca2c9,EIN756,-4.061,43.6525,11285.22,232.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca304,RYR16EV,11.6826,46.6614,10058.4,217.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca3e3,"",-6.236,53.4316,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca44b,IRL280,-6.4574,52.9993,2484.12,127.77
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,4ca4f0,RYR6CK,12.6272,55.5992,76.2,72.21
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca4f4,RYR9408,6.0542,43.4946,11277.6,220.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca566,RYR6592,1.3364,42.3235,10927.08,203.84
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca568,RYR47UC,0.2576,51.9002,373.38,72.81
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca569,RYR8FE,4.5234,41.1503,11559.54,226.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca61c,RYR8462,-3.2219,45.5387,11277.6,239.86
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ca61e,RYR91LC,-4.3482,39.9196,11277.6,232.07
