batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738065,ELY382,34.8833,32.0036,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7380c2,4X EDC,34.8808,32.0013,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738288,ISR171,34.6095,32.0284,2712.72,126.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738289,ISR354,29.1516,35.3181,10668.0,271.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,73828a,ISR725,29.7881,40.3855,11582.4,218.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,73828b,ISR764,30.5818,36.3317,10668.0,259.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738326,"",34.894,31.9972,-1.0,10.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738c0a,ICL607,33.9244,34.3301,4328.16,162.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,73934e,HEZ351,34.4255,32.072,5494.02,138.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738065,ELY382,34.8833,32.0036,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7380c2,4X EDC,34.8808,32.0013,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738288,ISR171,34.6095,32.0284,2712.72,126.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738289,ISR354,29.1516,35.3181,10668.0,271.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,73828a,ISR725,29.7881,40.3855,11582.4,218.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,73828b,ISR764,30.5818,36.3317,10668.0,259.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738326,"",34.894,31.9972,-1.0,10.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738c0a,ICL607,33.9244,34.3301,4328.16,162.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,73934e,HEZ351,34.4255,32.072,5494.02,138.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738065,ELY382,34.8833,32.0036,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7380c2,4X EDC,34.8808,32.0013,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738288,ISR171,34.6095,32.0284,2712.72,126.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738289,ISR354,29.1516,35.3181,10668.0,271.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,73828a,ISR725,29.7881,40.3855,11582.4,218.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,73828b,ISR764,30.5818,36.3317,10668.0,259.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738326,"",34.894,31.9972,-1.0,10.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,738c0a,ICL607,33.9244,34.3301,4328.16,162.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,73934e,HEZ351,34.4255,32.072,5494.02,138.88
