batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,683274,VSV728,80.0563,47.3089,9753.6,227.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832b2,VSV486,40.7358,40.1666,11277.6,244.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832dc,UPEM005,11.8712,44.5127,11887.2,240.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,683274,VSV728,80.0563,47.3089,9753.6,227.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832b2,VSV486,40.7358,40.1666,11277.6,244.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832dc,UPEM005,11.8712,44.5127,11887.2,240.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,683274,VSV728,80.0563,47.3089,9753.6,227.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832b2,VSV486,40.7358,40.1666,11277.6,244.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832dc,UPEM005,11.8712,44.5127,11887.2,240.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,683274,VSV728,80.0563,47.3089,9753.6,227.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832b2,VSV486,40.7358,40.1666,11277.6,244.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832dc,UPEM005,11.8712,44.5127,11887.2,240.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,683274,VSV728,80.0563,47.3089,9753.6,227.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832b2,VSV486,40.7358,40.1666,11277.6,244.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832dc,UPEM005,11.8712,44.5127,11887.2,240.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,683274,VSV728,80.0563,47.3089,9753.6,227.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832b2,VSV486,40.7358,40.1666,11277.6,244.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832dc,UPEM005,11.8712,44.5127,11887.2,240.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,683274,VSV728,80.0563,47.3089,9753.6,227.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832b2,VSV486,40.7358,40.1666,11277.6,244.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832dc,UPEM005,11.8712,44.5127,11887.2,240.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,683274,VSV728,80.0563,47.3089,9753.6,227.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832b2,VSV486,40.7358,40.1666,11277.6,244.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832dc,UPEM005,11.8712,44.5127,11887.2,240.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,683274,VSV728,80.0563,47.3089,9753.6,227.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832b2,VSV486,40.7358,40.1666,11277.6,244.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832dc,UPEM005,11.8712,44.5127,11887.2,240.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,683274,VSV728,80.0563,47.3089,9753.6,227.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832b2,VSV486,40.7358,40.1666,11277.6,244.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832dc,UPEM005,11.8712,44.5127,11887.2,240.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,683274,VSV728,80.0563,47.3089,9753.6,227.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832b2,VSV486,40.7358,40.1666,11277.6,244.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832dc,UPEM005,11.8712,44.5127,11887.2,240.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,683274,VSV728,80.0563,47.3089,9753.6,227.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832b2,VSV486,40.7358,40.1666,11277.6,244.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,6832dc,UPEM005,11.8712,44.5127,11887.2,240.63
