batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706066,KAC124,14.4751,35.9629,10668.0,292.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606c,KAC363,54.4497,25.7443,10066.02,263.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606d,KAC162,23.2967,42.9415,11887.2,261.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606e,KAC674,50.1806,27.0141,10972.8,188.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706070,KAC128,21.3231,45.8329,11887.2,252.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706071,KAC168,28.8791,42.6674,11887.2,264.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706072,KAC545,32.3594,29.6737,5699.76,184.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706073,KAC166,34.7506,29.4754,11894.82,271.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706076,KAC172,25.34,37.8078,11277.6,281.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706135,JZR126,55.3077,25.2883,563.88,115.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706202,JZR103,50.2514,27.3642,5806.44,218.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706066,KAC124,14.4751,35.9629,10668.0,292.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606c,KAC363,54.4497,25.7443,10066.02,263.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606d,KAC162,23.2967,42.9415,11887.2,261.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606e,KAC674,50.1806,27.0141,10972.8,188.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706070,KAC128,21.3231,45.8329,11887.2,252.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706071,KAC168,28.8791,42.6674,11887.2,264.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706072,KAC545,32.3594,29.6737,5699.76,184.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706073,KAC166,34.7506,29.4754,11894.82,271.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706076,KAC172,25.34,37.8078,11277.6,281.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706135,JZR126,55.3077,25.2883,563.88,115.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706202,JZR103,50.2514,27.3642,5806.44,218.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706066,KAC124,14.4751,35.9629,10668.0,292.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606c,KAC363,54.4497,25.7443,10066.02,263.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606d,KAC162,23.2967,42.9415,11887.2,261.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606e,KAC674,50.1806,27.0141,10972.8,188.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706070,KAC128,21.3231,45.8329,11887.2,252.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706071,KAC168,28.8791,42.6674,11887.2,264.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706072,KAC545,32.3594,29.6737,5699.76,184.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706073,KAC166,34.7506,29.4754,11894.82,271.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706076,KAC172,25.34,37.8078,11277.6,281.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706135,JZR126,55.3077,25.2883,563.88,115.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706202,JZR103,50.2514,27.3642,5806.44,218.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706066,KAC124,14.4751,35.9629,10668.0,292.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606c,KAC363,54.4497,25.7443,10066.02,263.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606d,KAC162,23.2967,42.9415,11887.2,261.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606e,KAC674,50.1806,27.0141,10972.8,188.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706070,KAC128,21.3231,45.8329,11887.2,252.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706071,KAC168,28.8791,42.6674,11887.2,264.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706072,KAC545,32.3594,29.6737,5699.76,184.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706073,KAC166,34.7506,29.4754,11894.82,271.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706076,KAC172,25.34,37.8078,11277.6,281.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706135,JZR126,55.3077,25.2883,563.88,115.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706202,JZR103,50.2514,27.3642,5806.44,218.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706066,KAC124,14.4751,35.9629,10668.0,292.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606c,KAC363,54.4497,25.7443,10066.02,263.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606d,KAC162,23.2967,42.9415,11887.2,261.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606e,KAC674,50.1806,27.0141,10972.8,188.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706070,KAC128,21.3231,45.8329,11887.2,252.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706071,KAC168,28.8791,42.6674,11887.2,264.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706072,KAC545,32.3594,29.6737,5699.76,184.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706073,KAC166,34.7506,29.4754,11894.82,271.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706076,KAC172,25.34,37.8078,11277.6,281.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706135,JZR126,55.3077,25.2883,563.88,115.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706202,JZR103,50.2514,27.3642,5806.44,218.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706066,KAC124,14.4751,35.9629,10668.0,292.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606c,KAC363,54.4497,25.7443,10066.02,263.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606d,KAC162,23.2967,42.9415,11887.2,261.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606e,KAC674,50.1806,27.0141,10972.8,188.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706070,KAC128,21.3231,45.8329,11887.2,252.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706071,KAC168,28.8791,42.6674,11887.2,264.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706072,KAC545,32.3594,29.6737,5699.76,184.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706073,KAC166,34.7506,29.4754,11894.82,271.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706076,KAC172,25.34,37.8078,11277.6,281.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706135,JZR126,55.3077,25.2883,563.88,115.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706202,JZR103,50.2514,27.3642,5806.44,218.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706066,KAC124,14.4751,35.9629,10668.0,292.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606c,KAC363,54.4497,25.7443,10066.02,263.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606d,KAC162,23.2967,42.9415,11887.2,261.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,70606e,KAC674,50.1806,27.0141,10972.8,188.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706070,KAC128,21.3231,45.8329,11887.2,252.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706071,KAC168,28.8791,42.6674,11887.2,264.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706072,KAC545,32.3594,29.6737,5699.76,184.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706073,KAC166,34.7506,29.4754,11894.82,271.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,706076,KAC172,25.34,37.8078,11277.6,281.73
