batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503c92,DMS2HA,7.6814,49.7519,3505.2,133.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cb3,"",34.8792,32.0029,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cfb,FBZ5244,-58.3531,-34.5626,662.94,104.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503d75,AHY8106,43.81,41.408,11277.6,247.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e2e,BFS02Y,-0.3367,42.0645,1005.84,51.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e99,SZN1005,-17.0697,14.6726,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503eaa,GJM3302,-0.3356,42.6724,10363.2,245.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee1,ELEKTRA,25.2949,54.6421,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee4,AOS346,25.2874,54.6463,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee9,MEISTRA1,25.2874,54.6396,-1.0,7.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ef7,AOS63,25.2872,54.6403,-1.0,4.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503fd0,LYF345,23.5934,56.9015,3352.8,100.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503c92,DMS2HA,7.6814,49.7519,3505.2,133.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cb3,"",34.8792,32.0029,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cfb,FBZ5244,-58.3531,-34.5626,662.94,104.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503d75,AHY8106,43.81,41.408,11277.6,247.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e2e,BFS02Y,-0.3367,42.0645,1005.84,51.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e99,SZN1005,-17.0697,14.6726,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503eaa,GJM3302,-0.3356,42.6724,10363.2,245.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee1,ELEKTRA,25.2949,54.6421,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee4,AOS346,25.2874,54.6463,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee9,MEISTRA1,25.2874,54.6396,-1.0,7.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ef7,AOS63,25.2872,54.6403,-1.0,4.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503fd0,LYF345,23.5934,56.9015,3352.8,100.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503c92,DMS2HA,7.6814,49.7519,3505.2,133.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cb3,"",34.8792,32.0029,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cfb,FBZ5244,-58.3531,-34.5626,662.94,104.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503d75,AHY8106,43.81,41.408,11277.6,247.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e2e,BFS02Y,-0.3367,42.0645,1005.84,51.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e99,SZN1005,-17.0697,14.6726,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503eaa,GJM3302,-0.3356,42.6724,10363.2,245.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee1,ELEKTRA,25.2949,54.6421,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee4,AOS346,25.2874,54.6463,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee9,MEISTRA1,25.2874,54.6396,-1.0,7.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ef7,AOS63,25.2872,54.6403,-1.0,4.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503fd0,LYF345,23.5934,56.9015,3352.8,100.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503c92,DMS2HA,7.6814,49.7519,3505.2,133.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cb3,"",34.8792,32.0029,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cfb,FBZ5244,-58.3531,-34.5626,662.94,104.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503d75,AHY8106,43.81,41.408,11277.6,247.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e2e,BFS02Y,-0.3367,42.0645,1005.84,51.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e99,SZN1005,-17.0697,14.6726,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503eaa,GJM3302,-0.3356,42.6724,10363.2,245.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee1,ELEKTRA,25.2949,54.6421,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee4,AOS346,25.2874,54.6463,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee9,MEISTRA1,25.2874,54.6396,-1.0,7.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ef7,AOS63,25.2872,54.6403,-1.0,4.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503fd0,LYF345,23.5934,56.9015,3352.8,100.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503c92,DMS2HA,7.6814,49.7519,3505.2,133.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cb3,"",34.8792,32.0029,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cfb,FBZ5244,-58.3531,-34.5626,662.94,104.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503d75,AHY8106,43.81,41.408,11277.6,247.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e2e,BFS02Y,-0.3367,42.0645,1005.84,51.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e99,SZN1005,-17.0697,14.6726,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503eaa,GJM3302,-0.3356,42.6724,10363.2,245.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee1,ELEKTRA,25.2949,54.6421,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee4,AOS346,25.2874,54.6463,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee9,MEISTRA1,25.2874,54.6396,-1.0,7.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ef7,AOS63,25.2872,54.6403,-1.0,4.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503fd0,LYF345,23.5934,56.9015,3352.8,100.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503c92,DMS2HA,7.6814,49.7519,3505.2,133.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cb3,"",34.8792,32.0029,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cfb,FBZ5244,-58.3531,-34.5626,662.94,104.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503d75,AHY8106,43.81,41.408,11277.6,247.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e2e,BFS02Y,-0.3367,42.0645,1005.84,51.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e99,SZN1005,-17.0697,14.6726,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503eaa,GJM3302,-0.3356,42.6724,10363.2,245.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee1,ELEKTRA,25.2949,54.6421,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee4,AOS346,25.2874,54.6463,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee9,MEISTRA1,25.2874,54.6396,-1.0,7.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ef7,AOS63,25.2872,54.6403,-1.0,4.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503fd0,LYF345,23.5934,56.9015,3352.8,100.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503c92,DMS2HA,7.6814,49.7519,3505.2,133.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cb3,"",34.8792,32.0029,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503cfb,FBZ5244,-58.3531,-34.5626,662.94,104.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503d75,AHY8106,43.81,41.408,11277.6,247.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e2e,BFS02Y,-0.3367,42.0645,1005.84,51.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503e99,SZN1005,-17.0697,14.6726,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503eaa,GJM3302,-0.3356,42.6724,10363.2,245.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee1,ELEKTRA,25.2949,54.6421,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee4,AOS346,25.2874,54.6463,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ee9,MEISTRA1,25.2874,54.6396,-1.0,7.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,503ef7,AOS63,25.2872,54.6403,-1.0,4.12
