batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7501e6,AXM375,108.9779,-2.7555,10972.8,238.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7501e9,"",120.019,26.703,12527.28,275.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7501fc,AXM5752,102.3747,2.851,4876.8,186.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,750204,MAS796,100.8126,13.5646,3329.94,149.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75020e,MAS204,100.0511,3.388,9555.48,251.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,750223,MAS2639,103.7831,3.2069,11582.4,243.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,750229,FFM2575,114.0205,4.6814,11582.4,243.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,750244,FFM2534,113.1172,5.1625,11277.6,228.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75025b,MAS039,126.5689,33.9253,10972.8,227.41
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75025e,MAS190,77.4665,27.3432,6400.8,209.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75026b,XAX605,38.2952,40.2311,11277.6,254.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,750286,AXM584,120.2009,14.0628,4983.48,163.07
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75029e,MAS114,85.3485,27.6735,1318.26,84.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7502d8,MXD670,100.9578,15.1618,11277.6,256.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,750324,AXM5410,104.1138,1.344,5158.74,177.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7503ab,"",116.0525,5.9395,-1.0,8.75
