batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2006,EWG32M,11.2879,47.7296,4975.86,174.81
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d200c,WZZ2894,33.8794,43.4807,10668.0,63.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2013,EWG6HW,6.2062,48.7084,9761.22,218.86
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2014,EWG84L,18.2631,59.8118,1485.9,124.52
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d201a,AEZ2121,14.5165,36.9646,2065.02,121.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2020,WMT756,10.8239,42.4285,11269.98,251.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2022,WMT8730,34.8937,31.9979,-1.0,6.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2035,KMM625,13.6873,37.3669,10462.26,252.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2038,KMM102,14.4933,35.8478,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d203f,SCO596,4.8878,55.5432,11574.78,248.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2042,AEZ131R,10.2736,41.1573,3619.5,138.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2047,AAE128,19.3313,47.062,10363.2,250.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2049,WZZ1JN,-3.5598,40.6232,1242.06,80.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d204a,WZZ9261,17.8642,50.5179,10965.18,218.99
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d204b,WMT1690,12.2574,41.8558,182.88,74.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2068,WMT522,26.1219,44.7267,1981.2,142.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d206b,WMT723,14.4741,40.8684,4198.62,165.97
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d206c,WZZ1HC,8.0421,51.666,3406.14,159.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2078,SVA930,15.2258,45.6413,10668.0,253.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2080,RYR8379,-0.2364,51.5587,4442.46,179.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2081,EWG7CR,9.1297,53.4017,3345.18,153.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d2087,EWG71L,7.0443,51.3943,1158.24,122.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4d208f,WMT825,17.9735,43.4466,10972.8,231.58
