batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,478058,HEP03,10.2207,59.395,525.78,56.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,47808b,WIF72H,7.2137,61.4078,7498.08,103.02
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,47808c,WIF9G,10.9126,63.4541,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,478090,WIF7AH,10.9126,63.4534,-1.0,0.0
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,4780c5,LTR85T,5.7123,58.9002,342.9,37.84
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4783cc,WIF1DC,10.9158,63.455,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,47873f,NOZ1308,4.1931,54.3361,10972.8,226.76
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,47875c,NOZ1612,10.523,55.4878,11887.2,232.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,478772,NOZ941,11.1159,60.1973,-1.0,7.72
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,47880f,NOZ631,11.0877,60.1408,403.86,71.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,478de3,DOC02,11.7679,55.6152,281.94,57.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,478eae,DOC14,10.7362,59.936,60.96,6.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,478ee5,DOC42,10.3763,63.3682,198.12,23.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,478f0e,WIF8DH,9.0191,59.1623,7193.28,150.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,478f43,SAS903,-64.0683,51.6005,12192.0,240.87
