batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4891a6,ENT4582,49.789,27.6394,10363.2,201.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4891ad,ENT1023,-2.4368,40.4035,11277.6,190.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4891b3,ENT6633,19.2669,43.0478,10668.0,236.81
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,489223,ENT7987,24.4896,40.9142,10668.0,234.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,489227,ENT528,-1.101,53.7633,11887.2,239.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4892c0,ENT5984,49.6936,27.7475,10363.2,203.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4892c1,ENT5008,51.0341,26.6778,10363.2,191.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4892c2,ENT1888,21.7579,48.7922,11582.4,235.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4892c4,ENT2206,55.6057,25.4075,3619.5,141.82
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4892c5,ENT19Q7,-16.6958,16.4683,10972.8,222.05
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,489628,SPFSI,18.0075,50.5648,601.98,66.27
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,489991,AMQ15S,2.5325,37.253,11582.4,214.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ad0b,LOT521,17.8758,51.5028,10332.72,223.05
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ad0c,LOT6LD,17.5978,47.6046,10363.2,223.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ad81,LOT3KE,22.1852,54.1384,11125.2,207.38
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ada0,LOT311,20.7628,51.8102,4069.08,171.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ada1,LOT3FA,26.2165,47.2492,10668.0,218.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ada2,LOT6PZ,17.0018,49.0399,5006.34,181.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ada3,LOT4MB,15.539,50.89,11513.82,215.81
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ada5,LOT34P,20.9964,52.1317,708.66,72.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ada7,LOT6HU,26.1921,44.5847,480.06,69.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ada9,LOT5EF,21.5086,52.5118,5029.2,190.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48adac,LOT7MN,24.3675,58.1315,8473.44,192.81
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ae05,LOT6309,-11.566,52.6928,11574.78,248.84
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,48ae07,LOT80,131.5208,35.7571,10363.2,183.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ae22,LOT2005,17.5651,50.7704,4259.58,199.78
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ae23,LOT6591,45.4956,41.2532,11277.6,264.54
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ae82,LOT4YJ,-2.1077,41.4069,8854.44,254.7
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48ae83,LOT5JL,-9.1808,38.6335,1821.18,160.0
