batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,50016b,T7KBI,35.1175,29.4431,11277.6,267.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001d4,MEA202,31.3159,37.5931,11285.22,260.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001db,MEA418,52.7577,25.2414,9502.14,269.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001df,T7CAL,-5.0116,44.8852,9144.0,151.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001e5,MEA242,12.7429,39.8465,11277.6,271.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,500205,MEA267,34.092,35.8067,11582.4,199.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,500213,MEA229,2.8671,49.0087,1318.26,88.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,50021e,T7MYC,12.639,42.4236,3246.12,158.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5003a7,AXS777,23.4439,37.6695,7505.7,243.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,50016b,T7KBI,35.1175,29.4431,11277.6,267.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001d4,MEA202,31.3159,37.5931,11285.22,260.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001db,MEA418,52.7577,25.2414,9502.14,269.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001df,T7CAL,-5.0116,44.8852,9144.0,151.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001e5,MEA242,12.7429,39.8465,11277.6,271.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,500205,MEA267,34.092,35.8067,11582.4,199.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,500213,MEA229,2.8671,49.0087,1318.26,88.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,50021e,T7MYC,12.639,42.4236,3246.12,158.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5003a7,AXS777,23.4439,37.6695,7505.7,243.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,50016b,T7KBI,35.1175,29.4431,11277.6,267.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001d4,MEA202,31.3159,37.5931,11285.22,260.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001db,MEA418,52.7577,25.2414,9502.14,269.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001df,T7CAL,-5.0116,44.8852,9144.0,151.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001e5,MEA242,12.7429,39.8465,11277.6,271.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,500205,MEA267,34.092,35.8067,11582.4,199.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,500213,MEA229,2.8671,49.0087,1318.26,88.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,50021e,T7MYC,12.639,42.4236,3246.12,158.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5003a7,AXS777,23.4439,37.6695,7505.7,243.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,50016b,T7KBI,35.1175,29.4431,11277.6,267.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001d4,MEA202,31.3159,37.5931,11285.22,260.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001db,MEA418,52.7577,25.2414,9502.14,269.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001df,T7CAL,-5.0116,44.8852,9144.0,151.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001e5,MEA242,12.7429,39.8465,11277.6,271.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,500205,MEA267,34.092,35.8067,11582.4,199.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,500213,MEA229,2.8671,49.0087,1318.26,88.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,50021e,T7MYC,12.639,42.4236,3246.12,158.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5003a7,AXS777,23.4439,37.6695,7505.7,243.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,50016b,T7KBI,35.1175,29.4431,11277.6,267.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001d4,MEA202,31.3159,37.5931,11285.22,260.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001db,MEA418,52.7577,25.2414,9502.14,269.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5001df,T7CAL,-5.0116,44.8852,9144.0,151.16
