batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,71004b,SVA764,52.3048,22.1873,11361.42,308.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,71005d,SVA303,32.937,28.9862,9197.34,199.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7100a6,SVA234,18.772,41.9335,10660.38,252.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7100ad,SVA180,18.4541,42.5742,9448.8,238.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7100b3,SVA120,11.7358,46.2233,11277.6,262.82
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7100bc,SVA210,16.2935,41.0289,10058.4,253.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,710100,SVA934,13.6424,46.7876,10668.0,252.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,710105,SVA113,9.9083,49.7245,10972.8,246.7
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,710130,SVA848,100.6546,14.2306,3352.8,176.86
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7103d6,SVA845,50.7222,22.5229,10972.8,199.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7103dd,SVA238,16.836,38.6735,11887.2,267.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,71040e,SVA208,21.6538,35.5801,10668.0,274.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7105ab,SVA124,-2.2857,53.3675,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7105ad,SVA126,14.2932,44.4769,11277.6,265.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7105b1,SVA840,101.8463,2.4095,1173.48,102.61
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,710db9,KNE224,48.8615,26.2789,9144.0,210.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,711100,FAD573,32.3383,37.5566,10965.18,188.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,711473,KNE212,54.3472,24.1382,9144.0,213.97
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,71147c,SVA278,28.5574,41.3616,2827.02,137.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7114c6,SVA552,50.5905,26.9093,9441.18,260.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7114d7,KNE271,32.5577,29.314,9159.24,206.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,711539,FAD511,54.6409,25.6842,7315.2,235.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,717c93,KNEE290,32.6755,28.4305,10058.4,260.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,717ca2,SVA261,31.6657,30.0068,9151.62,231.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,717cb3,KNE209,53.281,23.5792,7734.3,230.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,717ce1,FAD807,30.8775,34.8247,9745.98,225.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,71004b,SVA764,52.3048,22.1873,11361.42,308.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,71005d,SVA303,32.937,28.9862,9197.34,199.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7100a6,SVA234,18.772,41.9335,10660.38,252.83
