batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,008698,IWY792,-61.0883,15.6118,8542.02,221.16
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,008bb5,ZSSMS,18.7977,-33.9125,571.5,43.73
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,008dac,ZSMEE,18.4719,-33.7511,426.72,49.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,008df9,SFR322,27.93,-25.9339,-1.0,8.75
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,008ffa,GBB124K,27.3747,-27.0662,7597.14,225.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,00a87a,ZSPHX,28.1135,-26.3179,2346.96,105.45
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00acab,LNK606V,20.664,-33.0674,10005.06,249.77
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00af2e,GBB305V,20.9618,-33.7725,9753.6,203.51
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00b015,LNK635L,19.0874,-34.1744,4069.08,187.03
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00b089,SFR635,18.707,-33.8731,1135.38,115.18
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00b08a,SFR1012,18.7281,-34.1236,2758.44,138.01
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00b095,SFR358,18.594,-33.9408,160.02,73.87
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00b097,SFR171,19.4855,-33.8478,4747.26,178.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,00b1f4,SAA281,115.973,-31.9392,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,00eafd,LMG416,28.7489,-25.8397,2857.5,116.27
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,008698,IWY792,-61.0883,15.6118,8542.02,221.16
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,008bb5,ZSSMS,18.7977,-33.9125,571.5,43.73
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,008dac,ZSMEE,18.4719,-33.7511,426.72,49.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,008df9,SFR322,27.93,-25.9339,-1.0,8.75
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,008ffa,GBB124K,27.3747,-27.0662,7597.14,225.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,00a87a,ZSPHX,28.1135,-26.3179,2346.96,105.45
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00acab,LNK606V,20.664,-33.0674,10005.06,249.77
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00af2e,GBB305V,20.9618,-33.7725,9753.6,203.51
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00b015,LNK635L,19.0874,-34.1744,4069.08,187.03
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00b089,SFR635,18.707,-33.8731,1135.38,115.18
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00b08a,SFR1012,18.7281,-34.1236,2758.44,138.01
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00b095,SFR358,18.594,-33.9408,160.02,73.87
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00b097,SFR171,19.4855,-33.8478,4747.26,178.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,00b1f4,SAA281,115.973,-31.9392,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,00eafd,LMG416,28.7489,-25.8397,2857.5,116.27
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,008698,IWY792,-61.0883,15.6118,8542.02,221.16
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,008bb5,ZSSMS,18.7977,-33.9125,571.5,43.73
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,008dac,ZSMEE,18.4719,-33.7511,426.72,49.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,008df9,SFR322,27.93,-25.9339,-1.0,8.75
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,008ffa,GBB124K,27.3747,-27.0662,7597.14,225.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,00a87a,ZSPHX,28.1135,-26.3179,2346.96,105.45
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00acab,LNK606V,20.664,-33.0674,10005.06,249.77
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00af2e,GBB305V,20.9618,-33.7725,9753.6,203.51
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00b015,LNK635L,19.0874,-34.1744,4069.08,187.03
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00b089,SFR635,18.707,-33.8731,1135.38,115.18
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,00b08a,SFR1012,18.7281,-34.1236,2758.44,138.01
