batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b0274,EJU78NZ,4.4807,41.6478,11590.02,232.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b027c,EZS74AJ,5.7282,50.3711,11894.82,232.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b027e,EZS16FY,5.5217,45.9414,6233.16,176.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b0280,EZS95MN,0.0314,50.5551,6027.42,172.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b0290,SWR2GZ,8.4156,47.57,1280.16,93.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b0292,SWR478V,7.2287,47.5042,7901.94,219.0
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,4b0293,SWR5DA,8.5578,47.4616,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b0295,SWR3MV,9.4054,45.8598,9144.0,243.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b0e29,HBFJL,2.6018,48.89,3368.04,91.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b1339,HBHHH,-0.376,40.4007,4358.64,132.84
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b15d6,EDW36W,-69.9513,44.7087,11887.2,241.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b15d8,EDW4K,-2.1041,51.9002,10972.8,249.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b1615,SWR5YW,8.4721,47.4108,4366.26,180.72
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b1618,SWR8VD,8.1676,47.3896,3863.34,145.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b161e,EDW309N,13.0764,57.1277,10363.2,218.2
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b161f,EDW214A,-5.3916,35.5537,10668.0,230.07
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b168f,SWR8MH,10.2134,49.1414,10195.56,223.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b1698,SWR4TD,8.1898,47.5852,2095.5,121.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b17de,SWR44L,8.5554,47.456,533.4,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b17df,SWR3CX,8.5548,47.4561,533.4,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b17e2,SWR326W,8.5654,47.4424,-1.0,0.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b17e3,SWR13Y,6.3189,46.3813,1623.06,95.7
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b17e5,SWR303C,8.5565,47.4536,533.4,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b17e6,SWR8PV,11.5213,54.5047,9707.88,205.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b17f8,SWR868L,8.5678,47.455,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b17f9,SWR23F,8.5575,47.4546,533.4,2.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b17fc,SWR531C,9.6704,43.8464,11277.6,248.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b17fd,SWR59K,2.402,49.6347,11582.4,226.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b17ff,SWR493Z,8.7096,48.6899,7665.72,191.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b1800,SWR4LT,19.0352,47.4218,2438.4,139.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b1801,SWR2PH,15.4428,46.9974,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b1802,SWR8YB,-8.9142,38.8244,4145.28,173.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b1803,SWR175D,8.7941,49.0115,9570.72,216.27
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b1804,SWR2HY,7.9799,47.1476,5303.52,181.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b1806,SWR9AM,9.1052,48.1332,8183.88,215.43
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b1807,SWR,8.5593,47.4515,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b180b,SWR12E,5.588,45.6684,5486.4,178.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b1815,SWR1MC,6.3439,48.848,11277.6,241.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b181b,SWR4MK,8.5615,47.4601,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b181c,SWR589X,11.6231,54.1127,10363.2,213.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b1850,HBJFK,22.7368,45.439,10058.4,193.95
