batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b820c,TUAF804,17.8369,38.5464,10050.78,215.21
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b850c,TCAHL,26.3805,40.8906,12192.0,201.82
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b8750,PGT1921,30.1232,38.9588,11224.26,206.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b8de5,IGO6475,77.1136,28.567,-1.0,3.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b8dee,IGO492,77.3592,28.5645,1440.18,97.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b8e45,PGT4MZ,31.3632,31.5675,10363.2,218.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b8e47,PGT261P,11.1219,45.4002,8740.14,233.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b9065,PGT1046,18.9362,47.8644,10668.0,223.41
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b9068,PGT2202,27.1528,38.568,1935.48,95.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b9521,TKJ37F,29.8014,40.2596,4427.22,131.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b9903,IGO451M,77.5875,14.5641,8199.12,233.97
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b9910,FHY7088,32.7488,33.1214,10363.2,262.66
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,4b991a,IGO574V,77.6283,13.2076,1181.1,72.54
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b9c25,TCGAE,28.6492,41.5562,9265.92,175.97
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b9e02,TKJ5TN,4.7502,52.315,-1.0,4.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4b9e04,TKJ2AU,21.3174,46.1026,10050.78,209.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba467,TCICG,21.7541,44.181,12192.0,223.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba88f,THY6103,41.3943,42.6629,12192.0,52.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba892,THY6405,8.5711,50.0302,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba8ca,TKJ4MZ,31.97,38.7915,9144.0,235.13
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba8f2,TKJ8AH,30.0587,40.7251,5410.2,214.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba903,TKJ318,29.7322,39.5739,7330.44,178.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba905,TKJ4DK,30.5862,40.5236,7726.68,235.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba90e,THY9KJ,10.5991,44.4982,10363.2,227.78
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba934,THY3EN,14.2734,47.993,11582.4,239.27
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba945,THY5,11.454,54.902,9753.6,263.43
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba94a,THY77J,13.7955,53.4711,9753.6,258.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba94c,THY1,0.7861,60.6821,10363.2,248.32
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba956,THY124,30.0673,40.7231,8001.0,258.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba95a,THY199,125.7456,37.3418,9174.48,190.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba976,TKJ3TG,8.5592,45.2397,11277.6,251.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba995,THY71N,28.9241,41.2651,3009.9,144.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba9a8,THY9YM,28.7294,41.1834,678.18,75.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba9c4,THY236,31.0856,40.5639,9418.32,262.61
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba9c5,THY43C,13.2792,32.5936,11582.4,209.55
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,4ba9c8,THY46M,38.8075,41.6738,11582.4,222.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba9cd,THY1CR,24.5034,42.3898,11330.94,264.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba9da,THY2PE,30.8643,40.8186,8945.88,193.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba9e5,THY1VR,22.5559,51.0163,11887.2,234.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4ba9ea,THY7WS,21.3616,44.3858,11887.2,253.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4baa08,THY4VZ,27.9997,41.0674,2842.26,139.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4baa0b,THY3MB,30.3681,39.0843,10363.2,209.82
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4baa14,THY1PZ,30.0937,39.5165,10020.3,193.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4baa1a,THY9NM,28.7333,41.0009,1630.68,108.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4baa45,THY7BX,35.482,34.5849,10058.4,3.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4baa48,THY5002,31.3,30.5731,10668.0,233.94
