batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8960f1,UAE2646,55.4067,25.2294,0.0,63.7
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8960f2,UAE134,51.8136,47.107,11887.2,254.41
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8960f7,UAE51P,16.1812,36.2882,11277.6,296.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8960f8,UAE7CN,55.5219,25.083,1257.3,101.82
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8960f9,UAE7V,29.3049,42.7427,10972.8,235.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8960fb,UAE8UW,54.702,25.5256,4282.44,128.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89610c,UAE3M,153.1136,-27.4005,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896119,UAE5M,18.5595,43.9462,10363.2,241.72
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89611c,UAE31T,75.727,13.9978,10363.2,237.72
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89611d,UAE18Q,56.1524,24.7697,4419.6,169.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896121,UAE648,75.3843,10.9631,11277.6,260.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896169,UAE930,55.504,25.1754,662.94,74.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89616a,UAE34Q,20.3029,43.2791,11277.6,257.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896178,UAE74W,54.4804,25.611,7620.0,263.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896179,UAE256,15.5844,36.3267,11269.98,298.72
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89617f,UAE12W,85.1244,22.8972,9753.6,219.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896180,UAE54J,32.0134,41.7315,11887.2,270.05
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896181,UAE78L,25.9953,36.7236,11277.6,293.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896183,UAE65W,15.496,44.0325,11277.6,270.13
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896185,UAE131,50.6055,47.0301,12192.0,246.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896186,UAE232,-77.6046,39.0948,2019.3,134.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896194,UAE2,16.1283,43.8253,11277.6,266.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896196,UAE70M,23.8408,45.4509,11582.4,245.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896198,UAE385,100.8641,13.8515,1257.3,109.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896199,UAE5T,25.4983,37.7291,11887.2,274.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89619a,UAE158,25.3675,45.4044,10058.4,240.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89620d,UAE57X,22.0762,47.5949,10058.4,237.05
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,89620e,UAE110,33.7331,34.9626,571.5,77.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89620f,UAE136,22.7539,39.3567,10668.0,269.99
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896210,UAE95,25.4331,36.7927,10972.8,193.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8962d0,ABY466,57.686,26.5715,9144.0,205.43
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896307,UAE46,23.4767,39.2692,10668.0,270.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896309,UAE5GU,23.8046,40.3961,10058.4,261.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89630e,UAE2W,54.7904,25.6031,7010.4,206.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89630f,UAE187,15.6439,44.2436,10363.2,239.99
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,896335,FDB2RG,38.72,31.7267,11887.2,264.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89634a,ABY104,54.876,25.7326,2712.72,163.68
