batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,40016c,VPBEL,7.1932,43.644,182.88,70.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,40029b,VPCFR,17.3714,39.9331,13716.0,284.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4005b9,BAW7NY,-68.7074,46.034,11582.4,238.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4005bc,BAW7TG,-0.4608,51.4738,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400610,BAW53M,-72.1969,41.9247,11582.4,227.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400683,BAW15K,-11.532,53.4631,11582.4,248.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,40072b,EXS8GL,-1.7041,55.0404,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400773,BAW19N,-2.9011,53.4469,10972.8,248.84
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400774,BAW263,17.635,43.6227,11887.2,267.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4007da,LOG4EW,-1.2889,51.0715,1005.84,70.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4007f3,BAW17R,-73.788,40.6522,-1.0,5.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4007f4,BAW168,14.601,48.5947,11582.4,237.04
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4007f5,BAW119,13.0101,43.0322,10668.0,258.78
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4007f6,BAW125,8.3704,49.6866,11277.6,260.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4007fb,BAW127,16.149,44.528,11277.6,258.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400804,SHT5V,-0.7636,51.4771,1310.64,91.59
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,400846,LOG1LZ,-2.2725,53.3574,-1.0,6.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4008ad,SHT3A,-0.6098,51.768,2781.3,121.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4008b2,BAW442K,0.6218,51.8269,5661.66,206.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4008b3,BAW392R,4.4934,50.8953,-1.0,11.32
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,40092b,LOG834,0.9932,52.8374,3406.14,175.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400935,BAW903,-0.6532,51.4768,883.92,78.2
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,40095d,BAW814L,4.8596,53.2452,10652.76,235.86
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,40097c,BAW483Z,-0.6865,46.7281,10363.2,229.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,40097f,BAW94HG,4.8325,52.3251,10980.42,221.27
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400980,BAW771C,7.3416,57.0674,10972.8,224.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4009c6,BAW881,1.7018,51.747,8206.74,213.61
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4009d1,FRA79,-3.6843,50.6796,1242.06,114.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4009d9,SHT9K,-0.7009,51.5856,2377.44,126.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4009da,BAW886Q,9.5502,49.8856,10668.0,233.34
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4009db,BAW952M,10.6541,48.8204,5501.64,209.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400a7c,BAW858V,5.739,50.6625,11894.82,243.43
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400a7d,BAW366U,4.61,44.9251,9121.14,242.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400afb,EFW8ZT,-0.2529,51.1394,464.82,69.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400afc,EFW67B,-15.5338,30.8849,10058.4,234.32
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,400b82,BAW984G,13.5058,52.3567,-1.0,6.43
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400b84,BAW759,2.1175,49.9716,10972.8,226.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400be5,EFW22D,-0.1694,51.1512,525.78,83.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400d5b,BAW68H,12.4323,49.488,11277.6,234.27
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400d64,GMA504,-3.2725,54.63,5791.2,136.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400eb1,NCKL44,-1.1001,51.6125,541.02,59.27
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400edd,NCKL64,-1.0762,51.759,1211.58,56.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400f34,GHTRL,-1.3995,51.8581,1158.24,93.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400fe0,EZY92LG,-6.4118,40.4356,11582.4,236.1
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,400fe2,EZY737P,-3.5443,55.5955,2506.98,158.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,401068,EXM67,-3.2458,51.4012,1463.04,71.99
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4010db,EFW3TW,-6.5998,42.8664,10675.62,228.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4010dd,EFW53C,-6.2134,45.5484,10370.82,251.35
