batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a000b8,TWY677,-84.2744,31.197,13716.0,246.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a000e3,N1K,-78.7529,37.2516,12679.68,175.81
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a000fc,N1L,-81.2485,32.1291,114.3,66.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a0012a,LKF1,-85.5119,38.3146,12496.8,196.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a0014e,N1PG,-87.9849,35.8432,13106.4,221.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a001a9,N1SY,-94.9557,30.9007,3870.96,78.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a002ec,N10FV,-97.3037,31.829,6202.68,124.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a00392,N10NL,-84.6566,39.2079,1272.54,97.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a00547,LXJ100,-88.1493,36.5029,13716.0,278.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a005b4,N100LF,-83.9169,39.2526,563.88,26.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a00645,N100SA,-87.4467,39.5502,12496.8,270.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a00646,N100SB,-96.8224,31.6465,11506.2,229.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a0066e,N100TS,-104.5394,39.8766,8176.26,170.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a00684,N100UP,-97.4066,27.2634,7482.84,239.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a00853,N1009M,-81.3907,29.064,731.52,88.84
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a008ed,FDX5046,-2.1457,49.411,10363.2,242.88
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a008ef,N101FG,-81.7729,27.0658,6400.8,193.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a00915,N101GV,-116.2636,43.5722,975.36,42.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a00929,RPA4759,-88.6868,38.8956,7833.36,228.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a00965,N101L,-97.6172,35.5864,1188.72,78.32
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a00966,N101LA,-111.6215,33.4381,1104.9,42.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a009a4,AAL1243,-94.5831,43.5943,10363.2,234.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a00a76,N101WY,-77.1108,38.7331,1097.28,104.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a00c7a,DAL455,-83.5071,34.3953,7056.12,198.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a00df9,AAL1969,-75.9524,39.7417,5539.74,156.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a0103b,DAL2239,-75.5323,38.3485,10363.2,193.97
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a01097,RPA4352,-77.019,38.6659,792.48,68.61
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a0117e,TWY825,-80.222,27.179,-1.0,39.1
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a0129b,N1033A,-82.4558,27.9079,0.0,32.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a01391,CXK279,-71.2172,42.0203,617.22,39.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a01399,N104AJ,-82.186,28.418,121.92,39.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a013dc,N104DA,26.3961,42.9762,12192.0,223.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a013e8,DAL2706,-82.3607,29.8368,10050.78,224.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a014bc,N104N,-115.1328,35.9598,731.52,64.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a014c9,AAL3097,-71.0203,42.3622,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a01567,AAL3250,-86.8151,33.436,1104.9,106.43
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a0161a,N1041Q,-111.668,33.4229,861.06,55.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a0179b,N105DJ,-81.905,28.1954,1615.44,64.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a017a5,DAL2656,-95.896,30.5308,6050.28,210.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a017a8,DAL557,-76.5332,38.0203,10066.02,255.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a01880,AAL76,-114.9781,41.3095,10972.8,221.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a018f4,N105TD,-86.8708,33.5145,7315.2,163.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a0191e,AAL3103,-82.0308,31.2442,10363.2,197.72
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a01b52,N106DJ,-81.0516,28.5959,746.76,55.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,a01b56,DAL2648,-77.1139,42.5687,11277.6,262.92
