batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d8489,RUC1800,-74.1354,4.6961,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d84fb,LER2981,-73.9383,5.0308,5059.68,166.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d8489,RUC1800,-74.1354,4.6961,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d84fb,LER2981,-73.9383,5.0308,5059.68,166.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d8489,RUC1800,-74.1354,4.6961,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d84fb,LER2981,-73.9383,5.0308,5059.68,166.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d8489,RUC1800,-74.1354,4.6961,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d84fb,LER2981,-73.9383,5.0308,5059.68,166.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d8489,RUC1800,-74.1354,4.6961,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d84fb,LER2981,-73.9383,5.0308,5059.68,166.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d8489,RUC1800,-74.1354,4.6961,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d84fb,LER2981,-73.9383,5.0308,5059.68,166.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d8489,RUC1800,-74.1354,4.6961,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d84fb,LER2981,-73.9383,5.0308,5059.68,166.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d8489,RUC1800,-74.1354,4.6961,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d84fb,LER2981,-73.9383,5.0308,5059.68,166.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d8489,RUC1800,-74.1354,4.6961,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d84fb,LER2981,-73.9383,5.0308,5059.68,166.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d8489,RUC1800,-74.1354,4.6961,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0d84fb,LER2981,-73.9383,5.0308,5059.68,166.4
